测试用例ID|测试类型|测试场景|输入文本|参数设置|预期输出|优先级|description|expected_result
TC001|正向测试|黄金路径-女声正常参数|你好，欢迎使用语音生成服务|{"voice":"female","speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|清晰流畅的女声语音，响应时间<2秒|高|验证基本功能正常工作|HTTP 200，返回音频URL，语音清晰流畅
TC002|正向测试|黄金路径-男声正常参数|这是男声测试文本|{"voice":"male","speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|清晰流畅的男声语音，响应时间<2秒|高|验证男声音色功能|HTTP 200，返回音频URL，男声清晰流畅
TC003|正向测试|黄金路径-童声正常参数|这是童声测试文本|{"voice":"child","speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|清晰流畅的童声语音，响应时间<2秒|高|验证童声音色功能|HTTP 200，返回音频URL，童声清晰流畅
TC004|正向测试|中英文混合|Hello，你好！Welcome to 语音生成服务。|{"voice":"female","speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|中英文发音都准确清晰|高|验证多语言混合支持|HTTP 200，返回音频URL，中英文发音准确
TC005|正向测试|专业术语|语音生成系统采用了深度学习技术，包括卷积神经网络、循环神经网络和Transformer模型。|{"voice":"female","speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|专业术语发音准确清晰|中|验证专业术语处理能力|HTTP 200，返回音频URL，术语发音准确
TC006|反向测试|缺失文本字段||{"voice":"female","speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|返回400错误，提示text字段缺失|高|验证必填字段校验|HTTP 400，错误信息：text字段为必填项
TC007|反向测试|缺失voice字段|测试文本|{"speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|使用默认音色或返回400错误|中|验证默认值或必填字段校验|HTTP 200使用默认音色 或 HTTP 400提示voice缺失
TC008|反向测试|缺失language字段|测试文本|{"voice":"female","speed":1.0,"volume":80,"pitch":0,"format":"mp3"}|使用默认语言或返回400错误|中|验证默认值或必填字段校验|HTTP 200使用默认语言 或 HTTP 400提示language缺失
TC009|反向测试|缺失format字段|测试文本|{"voice":"female","speed":1.0,"volume":80,"pitch":0,"language":"zh"}|使用默认格式或返回400错误|中|验证默认值或必填字段校验|HTTP 200使用默认格式 或 HTTP 400提示format缺失
TC010|反向测试|空文本||{"voice":"female","speed":1.0,"volume":80,"pitch":0,"language":"zh","format":"mp3"}|返回400错误，提示text不能为空|高|验证空文本校验|HTTP 400，错误信息：text不能为空
